EEZID,EEZ_Name
-1,Land
0,Water 
8,Albania
12,Algeria
357,Andaman_&_Nicobar_Isl._(India)
24,Angola
660,Anguilla_(UK)
28,Antigua_&_Barbuda
32,Argentina
967,Aruba_(Netherlands)
855,Ascension_Isl._(UK)
36,Australia
622,Azores_Isl._(Portugal)
44,Bahamas
48,Bahrain
903,Balearic_Island_(Spain)
50,Bangladesh
52,Barbados
56,Belgium
84,Belize
204,Benin
60,Bermuda_(UK)
907,Bonaire_(Netherlands)
70,Bosnia_&_Herzegovina
74,Bouvet_Isl._(Norway)
76,Brazil
969,Brazil_(Fernando_de_Noronha)
970,Brazil_(St_Paul_and_St._Peter_Archipelago)
92,British_Virgin_Isl._(UK)
96,Brunei_Darussalam
100,Bulgaria
116,Cambodia
120,Cameroon
924,Canada_(Arctic)
926,Canada_(East_Coast)
925,Canada_(Pacific)
723,Canary_Isl._(Spain)
132,Cape_Verde
136,Cayman_Isl._(UK)
86,Chagos_Archipelago_(UK)
830,Channel_Isl._(UK)
152,Chile
156,China
162,Christmas_Isl._(Australia)
898,Clipperton_Isl.  (France)
166,Cocos_(Keeling)_Isl._(Australia)
927,Colombia_(Caribbean)
928,Colombia_(Pacific)
174,Comoros_Isl.
180,Congo_(ex-Zaire)
178,"Congo,_R._of"
184,Cook_Islands
899,Corsica_(France)
929,Costa_Rica_(Caribbean)
930,Costa_Rica_(Pacific)
384,Côte_d'Ivoire
900,Crete_(Greece)
191,Croatia
896,Crozet_Isl._(France)
192,Cuba
906,Curacao_(Netherlands)
197,Cyprus_(North)
198,Cyprus_(South)
931,Denmark_(Baltic_Sea)
932,Denmark_(North_Sea)
154,Desventuradas_Isl._(Chile)
262,Djibouti
212,Dominica
214,Dominican_Republic
153,Easter_Isl._(Chile)
218,Ecuador
933,Egypt_(Mediterranean)
934,Egypt_(Red_Sea)
222,El_Salvador
226,Equatorial_Guinea
111,Eritrea
233,Estonia
234,Faeroe_Isl._(Denmark)
238,Falkland_Isl._(UK)
242,Fiji
246,Finland
